ni	xi
121	2
388	6
599	9
521	7
560	9
624	4
432	8
643	18
599	10
589	10
537	12
684	8
751	17
585	13
462	5
660	17
607	4
591	9
463	11
647	15
653	2
318	6
444	8
702	8
581	9
385	3
603	6
650	13
541	12
263	2
569	5
161	4
314	2
301	3
644	21
574	10
624	7
590	7
516	8
669	12
623	6
545	3
464	1
563	3
694	7
278	7
522	7
694	18
562	8
198	2
410	3
628	8
445	8
539	5
606	9
636	10
638	6
619	11
610	10
690	5
423	4
643	11
336	6
634	24
288	4
572	4
382	3
617	11
653	6
483	5
564	4
250	2
567	6
230	4
391	8
540	12
642	13
616	9
411	7
441	2
541	3
650	14
521	3
744	1
483	7
660	2
363	4
152	3
671	12
519	10
452	7
583	8
140	2
515	9
329	4
645	4
359	4
625	2
280	5
452	7
457	3
568	5
573	11
338	2
433	3
186	3
453	1
354	2
603	2
564	2
392	8
149	0
101	1
318	5
342	4
574	4
629	5
179	1
600	10
356	3
692	7
537	7
609	10
347	11
641	5
645	5
219	3
422	8
452	7
535	7
645	13
261	3
639	6
630	11
200	1
297	6
144	1
652	8
332	2
602	5
591	8
644	7
591	1
587	5
749	4
562	7
463	1
275	5
490	4
586	7
279	3
651	5
431	2
628	5
566	6
579	5
329	7
606	7
639	5
383	3
330	2
637	7
655	10
695	8
608	6
630	9
512	3
468	10
507	7
149	4
535	3
656	17
580	0
544	5
704	6
167	0
552	13
594	3
391	5
563	7
477	6
646	10
626	7
687	11
359	4
271	4
541	4
240	1
454	4
242	2
628	11
668	2
362	4
256	3
583	9
638	6
735	6
612	8
750	12
505	9
272	5
638	5
688	11
607	1
590	7
522	7
649	7
631	6
181	0
194	2
330	3
643	15
749	5
264	4
607	6
611	19
612	23
129	1
307	8
196	6
701	8
472	3
659	5
740	13
599	8
563	5
186	0
611	5
555	2
581	8
650	8
634	13
597	9
205	5
593	2
601	4
561	8
667	10
618	18
638	18
629	10
590	10
383	3
369	3
541	6
477	7
659	4
663	7
666	2
336	1
696	7
574	5
427	7
585	11
528	4
577	5
539	9
170	1
344	4
350	6
488	2
537	12
568	5
654	11
469	5
325	2
642	11
479	7
596	3
595	2
648	11
497	5
477	0
352	3
599	9
420	4
338	3
594	4
174	2
751	9
573	5
592	4
591	2
636	8
561	6
640	13
620	6
420	5
382	5
617	8
625	6
634	10
507	7
594	7
685	6
620	9
754	12
402	1
596	4
677	21
361	5
604	11
465	4
693	7
600	6
647	7
569	8
524	9
651	5
560	6
619	15
608	6
653	5
598	8
194	1
607	11
714	3
571	8
642	3
623	5
618	10
588	11
678	6
510	5
672	9
136	1
595	4
609	7
347	3
426	4
609	9
181	2
416	3
247	2
669	11
656	6
108	4
650	9
737	8
224	1
346	6
638	10
357	3
135	1
332	7
122	1
559	8
136	2
415	6
592	5
618	8
583	8
635	12
593	6
581	7
604	6
592	10
605	7
576	3
628	14
260	4
738	7
